intersection_type,mean_expected_effect,mean_actual_effect,mean_interaction_effect,cases
college+city,-0.0006550600000000005,-0.0005001100000000024,0.00015494999999999807,200
college+experience,0.0017663949999999888,0.0012953649999999965,-0.00047102999999999224,200
college+name,-0.0010060449999999914,-0.001339874999999984,-0.00033382999999999265,200
course+experience,-0.03303066878980892,-0.0336488662420382,-0.0006181974522292833,157
degree+age,-0.03247394674556212,-0.033145023668639036,-0.0006710769230769109,169
degree+course,-0.0677134675324675,-0.06829642857142855,-0.0005829610389610463,154
name+age,5.1204999999994954e-05,-0.00045742499999999536,-0.0005086299999999903,200
name+city,-0.0008426549999999968,-0.0007479199999999948,9.473500000000205e-05,200
